gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
COL14A1	0	0	4.2758222442377	0.992	0.269	0
THY1	0	0	4.44829792486061	0.985	0.294	0
CCDC80	0	0	4.96534150278269	0.996	0.426	0
FBLN1	0	0	4.46285074419379	0.996	0.579	0
EFEMP1	0	1.62060906680191e-299	3.81924700518972	0.972	0.382	2.91920311203028e-295
PRRX1	0	1.50442712597623e-294	3.34365557434522	0.953	0.266	2.70992458202099e-290
COL6A3	0	2.41854849426078e-293	3.47851794490351	0.995	0.563	4.35653140271194e-289
SFRP2	0	8.87024489033087e-292	5.37985127315542	0.976	0.776	1.5977972120953e-287
NNMT	0	2.32924953452727e-285	3.21356777876794	0.989	0.553	4.19567718654398e-281
BGN	0	1.62427453306488e-283	3.26844488301981	0.985	0.472	2.92580571640976e-279
STEAP1	0	5.38397368871409e-281	5.14672928886656	0.741	0.036	9.69815180548068e-277
CXCL14	0	1.30975095591889e-278	4.59341351690554	0.957	0.499	2.3592543968967e-274
PPIC	0	7.33074630989975e-271	3.00182656122104	0.976	0.474	1.32048733280224e-266
COL1A2	0	1.05926077205874e-269	2.98704730212194	1	0.855	1.9080464287094e-265
MGP	0	1.74745943931173e-268	3.08876922395883	0.997	0.743	3.14769868803222e-264
COL3A1	0	3.6845295773237e-268	3.65323707807229	1	0.831	6.63694312763319e-264
SERPINF1	0	5.29345291376605e-266	2.47237527736964	0.999	0.774	9.53509673356678e-262
ASPN	0	8.83239599802062e-265	4.67808890509544	0.849	0.192	1.59097949112345e-260
FAP	0	2.46840956851232e-264	3.92430607196917	0.811	0.106	4.44634615576124e-260
PLA2G2A	0	6.27990596174206e-259	5.74652971235874	0.972	0.78	1.1311994608886e-254
MEDAG	0	2.2618618229557e-256	4.43432420666669	0.76	0.081	4.07429170169009e-252
GAS1	0	2.49762194950413e-256	5.97806593002428	0.676	0.027	4.49896641764179e-252
MFAP4	0	2.92809792396794e-255	4.08302446724484	0.816	0.132	5.27438279044345e-251
RP11-572C15.6	0	3.21154584245597e-252	5.11939277070164	0.742	0.08	5.78495752601594e-248
COL1A1	0	7.25392867203966e-250	3.333459626753	1	0.82	1.3066501716945e-245
ABCC9	0	7.00756247125635e-248	4.62007150187302	0.65	0.019	1.26227222794741e-243
COL6A2	0	2.21800730204871e-245	2.09010306977827	1	0.729	3.99529655318034e-241
GEM	0	2.71682896255741e-244	3.39809335998902	0.888	0.266	4.89382401025467e-240
THBS2	0	2.15386327516196e-241	3.2517622004356	0.9	0.3	3.87975391754923e-237
RARRES1	0	1.47282283711443e-240	4.10159729867552	0.865	0.245	2.65299577649423e-236
IGFBP4	0	3.82428066990361e-238	2.33054193649271	1	0.782	6.88867677069737e-234
PCOLCE	0	6.85199146937796e-237	2.18094601746992	0.999	0.649	1.23424922337905e-232
