cluster	cell_count	marker_count	specific_marker_count	weak_support	small_cluster
global	7615	9736	1465	None	None
0	591	3008	34	FALSE	FALSE
1	536	1498	3	FALSE	FALSE
2	534	3108	123	FALSE	FALSE
3	506	2921	113	FALSE	FALSE
4	462	1422	8	FALSE	FALSE
5	447	3547	186	FALSE	FALSE
6	439	1668	106	FALSE	FALSE
7	418	778	1	FALSE	FALSE
8	383	3550	113	FALSE	FALSE
9	382	524	1	FALSE	FALSE
10	357	422	1	FALSE	FALSE
11	336	377	0	FALSE	FALSE
12	328	1426	76	FALSE	FALSE
13	297	1689	251	FALSE	FALSE
14	287	453	1	FALSE	FALSE
15	284	593	76	FALSE	FALSE
16	277	1374	120	FALSE	FALSE
17	271	1780	39	FALSE	FALSE
18	243	3177	183	FALSE	FALSE
19	166	1465	99	FALSE	FALSE
20	71	90	0	FALSE	FALSE
